month,kind,id,thousand_m3_month
2024-11,demand,dist_subdistribuidor,27205
2024-11,demand,trans_centrales,560208
2024-11,demand,trans_industria,161217
2024-11,demand,trans_rtp,145296
2024-11,demand,trans_subdistribuidor,9591
2024-11,export,brasil_ypf_uruguayana,0
2024-11,export,chile_egs,26095
2024-11,export,chile_gasandes,72724
2024-11,export,chile_methanex_ypf,25190
2024-11,export,chile_norandino,0
2024-11,export,uruguay_gas_link,4595
2024-11,export,uruguay_petrouruguay,312
2024-11,supply,dist_otros,0
2024-11,supply,dist_propios,43073
2024-11,supply,tgn_neuquina,756628
2024-11,supply,tgn_noroeste,115930
2024-11,supply,tgn_otros,21314
2024-11,supply,tgs_austral,519951
2024-11,supply,tgs_neuquina,1.64744e+06
2024-11,supply,tgs_otros,0
2024-11,supply,tgs_san_jorge,230626
2024-12,demand,dist_centrales,505157
2024-12,demand,dist_comercial,72507
2024-12,demand,dist_entes_oficiales,14826
2024-12,demand,dist_gnc,175805
2024-12,demand,dist_industria,834147
2024-12,demand,dist_residencial,380906
2024-12,demand,dist_subdistribuidor,26471
2024-12,demand,trans_centrales,516786
2024-12,demand,trans_industria,166061
2024-12,demand,trans_rtp,156453
2024-12,demand,trans_subdistribuidor,8165
2024-12,export,brasil_ypf_uruguayana,0
2024-12,export,chile_egs,35761
2024-12,export,chile_gasandes,94979
2024-12,export,chile_methanex_ypf,18784
2024-12,export,chile_norandino,0
2024-12,export,uruguay_gas_link,3778
2024-12,export,uruguay_petrouruguay,68
2024-12,supply,dist_otros,0
2024-12,supply,dist_propios,37696
2024-12,supply,tgn_neuquina,868392
2024-12,supply,tgn_noroeste,83509
2024-12,supply,tgn_otros,31
2024-12,supply,tgs_austral,480358
2024-12,supply,tgs_neuquina,1.50956e+06
2024-12,supply,tgs_otros,0
2024-12,supply,tgs_san_jorge,255065
2025-01,demand,dist_centrales,636488
2025-01,demand,dist_comercial,62056
2025-01,demand,dist_entes_oficiales,10386
2025-01,demand,dist_gnc,161232
2025-01,demand,dist_industria,816796
2025-01,demand,dist_residencial,295264
2025-01,demand,dist_subdistribuidor,26303
